,Mark,PSINT_FP_power
2021-04-14 06:41:54.778716,0.0,0.59375
2021-04-14 06:41:54.890466,0.0,0.59375
2021-04-14 06:41:55.002163,0.0,0.59375
2021-04-14 06:41:55.113390,0.0,0.59375
2021-04-14 06:41:55.225101,0.0,0.59375
2021-04-14 06:41:55.337090,0.0,0.59375
2021-04-14 06:41:55.448063,0.0,0.59375
2021-04-14 06:41:55.616646,0.0,0.59375
2021-04-14 06:41:55.732007,0.0,0.59375
2021-04-14 06:41:55.843866,0.0,0.59375
2021-04-14 06:41:55.955188,0.0,0.59375
2021-04-14 06:41:56.066318,0.0,0.59375
2021-04-14 06:41:56.177680,0.0,0.59375
2021-04-14 06:41:56.288888,0.0,0.59375
2021-04-14 06:41:56.400630,0.0,0.59375
2021-04-14 06:41:56.512279,0.0,0.59375
2021-04-14 06:41:56.691835,0.0,0.59375
2021-04-14 06:41:56.817828,0.0,0.59375
2021-04-14 06:41:56.940978,0.0,0.59375
2021-04-14 06:41:57.052848,0.0,0.59375
2021-04-14 06:41:57.164649,0.0,0.59375
2021-04-14 06:41:57.276080,0.0,0.59375
2021-04-14 06:41:57.389607,0.0,0.59375
2021-04-14 06:41:57.506820,0.0,0.59375
2021-04-14 06:41:57.618553,0.0,0.59375
2021-04-14 06:41:57.797478,0.0,0.65625
2021-04-14 06:41:57.917156,0.0,0.65625
2021-04-14 06:41:58.029565,0.0,0.65625
2021-04-14 06:41:58.140750,0.0,0.65625
2021-04-14 06:41:58.252308,0.0,0.65625
2021-04-14 06:41:58.365371,0.0,0.65625
2021-04-14 06:41:58.476544,0.0,0.65625
2021-04-14 06:41:58.588245,0.0,0.65625
2021-04-14 06:41:58.699661,0.0,0.65625
2021-04-14 06:41:58.879378,0.0,0.59375
2021-04-14 06:41:58.999750,0.0,0.59375
2021-04-14 06:41:59.116865,0.0,0.59375
2021-04-14 06:41:59.228951,0.0,0.59375
2021-04-14 06:41:59.340009,0.0,0.59375
2021-04-14 06:41:59.451819,0.0,0.59375
2021-04-14 06:41:59.563459,0.0,0.59375
2021-04-14 06:41:59.674600,0.0,0.59375
2021-04-14 06:41:59.786305,0.0,0.59375
2021-04-14 06:41:59.966208,0.0,0.59375
2021-04-14 06:42:00.093070,0.0,0.59375
2021-04-14 06:42:00.213780,0.0,0.59375
2021-04-14 06:42:00.337150,0.0,0.59375
2021-04-14 06:42:00.448573,0.0,0.59375
2021-04-14 06:42:00.559948,0.0,0.59375
2021-04-14 06:42:00.671479,0.0,0.59375
2021-04-14 06:42:00.783268,0.0,0.59375
2021-04-14 06:42:00.896172,0.0,0.59375
2021-04-14 06:42:01.063397,0.0,0.59375
2021-04-14 06:42:01.189791,0.0,0.59375
2021-04-14 06:42:01.312644,0.0,0.59375
2021-04-14 06:42:01.429307,0.0,0.59375
2021-04-14 06:42:01.540731,0.0,0.59375
2021-04-14 06:42:01.652163,0.0,0.59375
2021-04-14 06:42:01.763600,0.0,0.59375
2021-04-14 06:42:01.876959,0.0,0.59375
2021-04-14 06:42:01.988706,0.0,0.59375
2021-04-14 06:42:02.156959,0.0,0.59375
2021-04-14 06:42:02.277793,0.0,0.59375
2021-04-14 06:42:02.410033,0.0,0.59375
2021-04-14 06:42:02.531215,0.0,0.59375
2021-04-14 06:42:02.647333,0.0,0.59375
2021-04-14 06:42:02.774035,0.0,0.59375
2021-04-14 06:42:02.887940,0.0,0.59375
2021-04-14 06:42:02.999950,0.0,0.59375
2021-04-14 06:42:03.111401,0.0,0.59375
2021-04-14 06:42:03.291102,0.0,0.59375
2021-04-14 06:42:03.413287,0.0,0.59375
2021-04-14 06:42:03.531367,0.0,0.59375
2021-04-14 06:42:03.643294,0.0,0.59375
2021-04-14 06:42:03.754897,0.0,0.59375
2021-04-14 06:42:03.866026,0.0,0.59375
2021-04-14 06:42:03.978029,0.0,0.59375
2021-04-14 06:42:04.089779,0.0,0.59375
2021-04-14 06:42:04.200812,0.0,0.59375
2021-04-14 06:42:04.380594,0.0,0.59375
2021-04-14 06:42:04.507008,0.0,0.59375
2021-04-14 06:42:04.628344,0.0,0.59375
2021-04-14 06:42:04.742727,0.0,0.59375
2021-04-14 06:42:04.854185,0.0,0.59375
2021-04-14 06:42:04.966833,0.0,0.59375
2021-04-14 06:42:05.078687,0.0,0.59375
2021-04-14 06:42:05.190294,0.0,0.59375
2021-04-14 06:42:05.301468,0.0,0.59375
2021-04-14 06:42:05.480894,0.0,0.59375
2021-04-14 06:42:05.601420,0.0,0.59375
2021-04-14 06:42:05.719039,0.0,0.59375
2021-04-14 06:42:05.830516,0.0,0.59375
2021-04-14 06:42:05.942536,0.0,0.59375
2021-04-14 06:42:06.054328,0.0,0.59375
2021-04-14 06:42:06.165726,0.0,0.59375
2021-04-14 06:42:06.276727,0.0,0.59375
2021-04-14 06:42:06.388476,0.0,0.59375
2021-04-14 06:42:06.568041,0.0,0.59375
2021-04-14 06:42:06.688405,0.0,0.59375
2021-04-14 06:42:06.815346,0.0,0.59375
2021-04-14 06:42:06.939219,0.0,0.59375
2021-04-14 06:42:07.060188,0.0,0.59375
2021-04-14 06:42:07.181001,0.0,0.59375
2021-04-14 06:42:07.292751,0.0,0.59375
2021-04-14 06:42:07.406114,0.0,0.59375
2021-04-14 06:42:07.516990,0.0,0.59375
2021-04-14 06:42:07.685291,0.0,0.59375
2021-04-14 06:42:07.807476,0.0,0.59375
2021-04-14 06:42:07.927710,0.0,0.59375
2021-04-14 06:42:08.054703,0.0,0.59375
2021-04-14 06:42:08.169909,0.0,0.59375
2021-04-14 06:42:08.289483,0.0,0.59375
2021-04-14 06:42:08.401884,0.0,0.59375
2021-04-14 06:42:08.513686,0.0,0.59375
2021-04-14 06:42:08.625597,0.0,0.59375
2021-04-14 06:42:08.805594,0.0,0.59375
2021-04-14 06:42:08.931671,0.0,0.59375
2021-04-14 06:42:09.052648,0.0,0.59375
2021-04-14 06:42:09.168255,0.0,0.59375
2021-04-14 06:42:09.295268,0.0,0.59375
2021-04-14 06:42:09.420606,0.0,0.59375
2021-04-14 06:42:09.540479,0.0,0.59375
2021-04-14 06:42:09.658457,0.0,0.59375
2021-04-14 06:42:09.770665,0.0,0.59375
2021-04-14 06:42:09.939362,0.0,0.59375
2021-04-14 06:42:10.065888,0.0,0.59375
2021-04-14 06:42:10.187096,0.0,0.59375
2021-04-14 06:42:10.309281,0.0,0.59375
2021-04-14 06:42:10.426347,0.0,0.59375
2021-04-14 06:42:10.552784,0.0,0.59375
2021-04-14 06:42:10.673672,0.0,0.59375
2021-04-14 06:42:10.787983,0.0,0.59375
2021-04-14 06:42:10.911921,0.0,0.59375
2021-04-14 06:42:11.099475,0.0,0.59375
2021-04-14 06:42:11.219241,0.0,0.59375
2021-04-14 06:42:11.340007,0.0,0.59375
2021-04-14 06:42:11.458144,0.0,0.59375
2021-04-14 06:42:11.575236,0.0,0.59375
2021-04-14 06:42:11.687776,0.0,0.59375
2021-04-14 06:42:11.799612,0.0,0.59375
2021-04-14 06:42:11.913749,0.0,0.59375
2021-04-14 06:42:12.025647,0.0,0.59375
2021-04-14 06:42:12.206052,0.0,0.59375
2021-04-14 06:42:12.331687,0.0,0.59375
2021-04-14 06:42:12.456067,0.0,0.59375
2021-04-14 06:42:12.574380,0.0,0.59375
2021-04-14 06:42:12.687518,0.0,0.59375
2021-04-14 06:42:12.799136,0.0,0.59375
2021-04-14 06:42:12.911307,0.0,0.59375
2021-04-14 06:42:13.022822,0.0,0.59375
2021-04-14 06:42:13.134885,0.0,0.59375
2021-04-14 06:42:13.303476,0.0,0.59375
2021-04-14 06:42:13.436924,0.0,0.59375
2021-04-14 06:42:13.548530,0.0,0.59375
2021-04-14 06:42:13.660684,0.0,0.59375
2021-04-14 06:42:13.772544,0.0,0.59375
2021-04-14 06:42:13.884933,0.0,0.59375
2021-04-14 06:42:13.996709,0.0,0.59375
2021-04-14 06:42:14.108395,0.0,0.59375
2021-04-14 06:42:14.220314,0.0,0.59375
2021-04-14 06:42:14.388434,0.0,0.59375
2021-04-14 06:42:14.517308,0.0,0.59375
2021-04-14 06:42:14.630775,0.0,0.59375
2021-04-14 06:42:14.742960,0.0,0.59375
2021-04-14 06:42:14.855178,0.0,0.59375
2021-04-14 06:42:14.967439,0.0,0.59375
2021-04-14 06:42:15.079018,0.0,0.59375
2021-04-14 06:42:15.191081,0.0,0.59375
2021-04-14 06:42:15.303402,0.0,0.59375
2021-04-14 06:42:15.472169,0.0,0.59375
2021-04-14 06:42:15.598034,0.0,0.59375
2021-04-14 06:42:15.719216,0.0,0.59375
2021-04-14 06:42:15.834484,0.0,0.59375
2021-04-14 06:42:15.963527,0.0,0.59375
2021-04-14 06:42:16.084810,0.0,0.59375
2021-04-14 06:42:16.204095,0.0,0.59375
2021-04-14 06:42:16.325240,0.0,0.59375
2021-04-14 06:42:16.441358,0.0,0.59375
2021-04-14 06:42:16.631099,0.0,0.59375
2021-04-14 06:42:16.752087,0.0,0.59375
2021-04-14 06:42:16.879535,0.0,0.59375
2021-04-14 06:42:16.994968,0.0,0.59375
2021-04-14 06:42:17.122202,0.0,0.59375
2021-04-14 06:42:17.246671,0.0,0.59375
2021-04-14 06:42:17.368841,0.0,0.59375
2021-04-14 06:42:17.486317,0.0,0.59375
2021-04-14 06:42:17.604707,0.0,0.59375
2021-04-14 06:42:17.774237,0.0,0.59375
2021-04-14 06:42:17.900925,0.0,0.59375
2021-04-14 06:42:18.022346,0.0,0.59375
2021-04-14 06:42:18.143683,0.0,0.59375
2021-04-14 06:42:18.264868,0.0,0.59375
2021-04-14 06:42:18.387449,0.0,0.59375
2021-04-14 06:42:18.502987,0.0,0.59375
2021-04-14 06:42:18.626641,0.0,0.59375
2021-04-14 06:42:18.747661,0.0,0.59375
2021-04-14 06:42:18.936389,0.0,0.59375
2021-04-14 06:42:19.056845,0.0,0.59375
2021-04-14 06:42:19.184172,0.0,0.59375
2021-04-14 06:42:19.305268,0.0,0.59375
2021-04-14 06:42:19.430024,0.0,0.59375
2021-04-14 06:42:19.549056,0.0,0.59375
2021-04-14 06:42:19.662158,0.0,0.59375
2021-04-14 06:42:19.783042,0.0,0.59375
2021-04-14 06:42:19.910104,0.0,0.59375
2021-04-14 06:42:20.093771,0.0,0.59375
2021-04-14 06:42:20.212886,0.0,0.59375
2021-04-14 06:42:20.332688,0.0,0.59375
2021-04-14 06:42:20.450718,0.0,0.59375
2021-04-14 06:42:20.568768,0.0,0.59375
2021-04-14 06:42:20.685982,0.0,0.59375
2021-04-14 06:42:20.798617,0.0,0.59375
2021-04-14 06:42:20.910651,0.0,0.59375
2021-04-14 06:42:21.022758,0.0,0.59375
2021-04-14 06:42:21.203376,0.0,0.59375
2021-04-14 06:42:21.323104,0.0,0.59375
2021-04-14 06:42:21.444317,0.0,0.59375
2021-04-14 06:42:21.562356,0.0,0.59375
2021-04-14 06:42:21.679673,0.0,0.59375
2021-04-14 06:42:21.797584,0.0,0.59375
2021-04-14 06:42:21.915393,0.0,0.59375
2021-04-14 06:42:22.033709,0.0,0.59375
2021-04-14 06:42:22.151409,0.0,0.59375
2021-04-14 06:42:22.336506,0.0,0.59375
2021-04-14 06:42:22.457484,0.0,0.59375
2021-04-14 06:42:22.578360,0.0,0.59375
2021-04-14 06:42:22.705523,0.0,0.59375
2021-04-14 06:42:22.826452,0.0,0.59375
2021-04-14 06:42:22.950884,0.0,0.59375
2021-04-14 06:42:23.066439,0.0,0.59375
2021-04-14 06:42:23.193657,0.0,0.59375
2021-04-14 06:42:23.316135,0.0,0.59375
2021-04-14 06:42:23.500493,0.0,0.59375
2021-04-14 06:42:23.626877,0.0,0.59375
2021-04-14 06:42:23.748155,0.0,0.59375
2021-04-14 06:42:23.866090,0.0,0.59375
2021-04-14 06:42:23.985812,0.0,0.59375
2021-04-14 06:42:24.106570,0.0,0.59375
2021-04-14 06:42:24.227816,0.0,0.59375
2021-04-14 06:42:24.354632,0.0,0.59375
2021-04-14 06:42:24.469979,0.0,0.59375
2021-04-14 06:42:24.658591,0.0,0.59375
2021-04-14 06:42:24.784712,0.0,0.59375
2021-04-14 06:42:24.899975,0.0,0.59375
2021-04-14 06:42:25.027243,0.0,0.59375
2021-04-14 06:42:25.142482,0.0,0.59375
2021-04-14 06:42:25.269670,0.0,0.59375
2021-04-14 06:42:25.384911,0.0,0.59375
2021-04-14 06:42:25.512113,0.0,0.59375
2021-04-14 06:42:25.627068,0.0,0.59375
2021-04-14 06:42:25.815742,0.0,0.59375
2021-04-14 06:42:25.938074,0.0,0.59375
2021-04-14 06:42:26.058957,0.0,0.59375
2021-04-14 06:42:26.179685,0.0,0.59375
2021-04-14 06:42:26.300746,0.0,0.59375
2021-04-14 06:42:26.427514,0.0,0.59375
2021-04-14 06:42:26.542646,0.0,0.59375
2021-04-14 06:42:26.663694,0.0,0.59375
2021-04-14 06:42:26.784674,0.0,0.59375
2021-04-14 06:42:26.974381,0.0,0.59375
2021-04-14 06:42:27.093231,0.0,0.59375
2021-04-14 06:42:27.213773,0.0,0.59375
2021-04-14 06:42:27.331136,0.0,0.59375
2021-04-14 06:42:27.455362,0.0,0.59375
2021-04-14 06:42:27.577074,0.0,0.59375
2021-04-14 06:42:27.698140,0.0,0.59375
2021-04-14 06:42:27.819422,0.0,0.59375
2021-04-14 06:42:27.942631,0.0,0.59375
2021-04-14 06:42:28.132316,0.0,0.59375
2021-04-14 06:42:28.257846,0.0,0.59375
2021-04-14 06:42:28.379191,0.0,0.59375
2021-04-14 06:42:28.494388,0.0,0.59375
2021-04-14 06:42:28.621394,0.0,0.59375
2021-04-14 06:42:28.742517,0.0,0.59375
2021-04-14 06:42:28.857728,0.0,0.59375
2021-04-14 06:42:28.978705,0.0,0.59375
2021-04-14 06:42:29.098892,0.0,0.59375
2021-04-14 06:42:29.285362,0.0,0.59375
2021-04-14 06:42:29.413836,0.0,0.59375
2021-04-14 06:42:29.534740,0.0,0.59375
2021-04-14 06:42:29.650567,0.0,0.59375
2021-04-14 06:42:29.777056,0.0,0.59375
2021-04-14 06:42:29.899843,0.0,0.59375
2021-04-14 06:42:30.015729,0.0,0.59375
2021-04-14 06:42:30.137487,0.0,0.59375
2021-04-14 06:42:30.258828,0.0,0.59375
2021-04-14 06:42:30.447140,0.0,0.59375
2021-04-14 06:42:30.573650,0.0,0.59375
2021-04-14 06:42:30.688652,0.0,0.59375
2021-04-14 06:42:30.815784,0.0,0.59375
2021-04-14 06:42:30.930752,0.0,0.59375
2021-04-14 06:42:31.058136,0.0,0.59375
2021-04-14 06:42:31.179798,0.0,0.59375
2021-04-14 06:42:31.294676,0.0,0.59375
2021-04-14 06:42:31.415989,0.0,0.59375
2021-04-14 06:42:31.602365,0.0,0.59375
2021-04-14 06:42:31.727805,0.0,0.59375
2021-04-14 06:42:31.842830,0.0,0.59375
2021-04-14 06:42:31.965710,0.0,0.59375
2021-04-14 06:42:32.083089,0.0,0.59375
2021-04-14 06:42:32.200459,0.0,0.59375
2021-04-14 06:42:32.320294,0.0,0.59375
2021-04-14 06:42:32.432998,0.0,0.59375
2021-04-14 06:42:32.545053,0.0,0.59375
2021-04-14 06:42:32.724554,0.0,0.59375
2021-04-14 06:42:32.845764,0.0,0.59375
2021-04-14 06:42:32.965003,0.0,0.59375
2021-04-14 06:42:33.082779,0.0,0.59375
2021-04-14 06:42:33.200386,0.0,0.59375
2021-04-14 06:42:33.320078,0.0,0.59375
2021-04-14 06:42:33.437907,0.0,0.59375
2021-04-14 06:42:33.555773,0.0,0.59375
2021-04-14 06:42:33.676744,0.0,0.59375
